index,hatespeech,csType,counterspeech,Suggest,Relevance,Aggressive,Complexity,Comments,source,claim,centralTopic,speakerIntent,targetGroup,relevantPowerDynamics,hatespeechImplication,targetGroupEmotionalReaction,targetGroupCognitiveReaction,hatespeechOffensiveness,id,is_high_quality,hs_id,hatespeechTarget,powerDynamics,prompt_offensiveness,prompt_target_group,prompt_speaker_intent,prompt_power_dynamics,prompt_implication,prompt_emotional_reaction,prompt_cognitive_reaction,prompt_cs_generation,predicted_cs,Category Accuracy,Conditioned CS
20,"Women are basically childlike, they remain this way most of their lives. Soft and emotional. It has devastated our once great patriarchal civilizations.",Informative,"The characteristics you are referring to are a strength, not weakness. spreading this kind of gender bias is exactly why the patriarchy needs to stop.",3,4,2,3,,Human,"Women are basically childlike, they remain this way most of their lives. Soft and emotional.",Stereotyping and devaluing women based on their perceived characteristics.,The speaker is trying to express their opinion about women,women,gender power differential between speaker and targeted group (women),"implies that all women are childlike, soft, and emotional, which is a harmful stereotype","women could feel angry that their gender is being used as a scapegoat for the destruction of patriarchal civilizations, frustrated that they are being stereotyped in such a negative way","will feel less welcome in the conversation, will want to avoid those kinds of conversations with people like the speaker",offensive generalization,20,no,5,women,gender,"Analyze the offensiveness of the statement: Women are basically childlike, they remain this way most of their lives. Soft and emotional. It has devastated our once great patriarchal civilizations.","Identify the group of people that the speaker is targeting or discriminating against in the offensive statement: Women are basically childlike, they remain this way most of their lives. Soft and emotional. It has devastated our once great patriarchal civilizations.","Analyze the speaker's intention behind writing the offensive statement: Women are basically childlike, they remain this way most of their lives. Soft and emotional. It has devastated our once great patriarchal civilizations.","Explain the underlying power dynamics between the speaker and the target group in the offensive statement: Women are basically childlike, they remain this way most of their lives. Soft and emotional. It has devastated our once great patriarchal civilizations.","Explain the implied meaning underlying the offensive statement: Women are basically childlike, they remain this way most of their lives. Soft and emotional. It has devastated our once great patriarchal civilizations.","Describe how the target group might feel emotionally after reading or listening to the offensive statement: Women are basically childlike, they remain this way most of their lives. Soft and emotional. It has devastated our once great patriarchal civilizations.","Describe how the target group might react cognitively after reading or listening to the offensive statement: Women are basically childlike, they remain this way most of their lives. Soft and emotional. It has devastated our once great patriarchal civilizations.","Analyze the different aspects such as offensiveness, target group, stereotype, power dynamics, implied meaning, emotional, and cognitive reactions before writing a Informative counterspeech for the offensive statement: Women are basically childlike, they remain this way most of their lives. Soft and emotional. It has devastated our once great patriarchal civilizations.","feminism is about gender equality and empowerment, not about dominating others. you should know that there are strong women who have fought for equality and made significant contributions to society.",yes,4
48,Minorities vote to strip wealth and power from White people and they are organised to do this by the Jews.,Informative,"This is incorrect. jews could never be able to affect such a drastic change among the white people, given the amount of corrpution that goes on in higher positions of power.",3,4,3,3,,Human,Minorities vote to strip wealth and power from White people.,The alleged organized involvement of Jews in this effort.,The speaker is trying to make a point about the power dynamics between minorities and white people,"minorities, Jews",power differential between speaker and targeted group (minorities) due to racial and religious differences,"implies that minorities are organized to take away wealth and power from white people, and that Jews are responsible for it","minorities could feel angry, frustrated, or scared at the implication that they are responsible for taking away wealth and power from white people","might lead minorities to be more cautious when interacting with white people, might lead them to become more defensive when interacting with white people",offensive,52,no,12,jews,religion,Analyze the offensiveness of the statement: Minorities vote to strip wealth and power from White people and they are organised to do this by the Jews.,Identify the group of people that the speaker is targeting or discriminating against in the offensive statement: Minorities vote to strip wealth and power from White people and they are organised to do this by the Jews.,Analyze the speaker's intention behind writing the offensive statement: Minorities vote to strip wealth and power from White people and they are organised to do this by the Jews.,Explain the underlying power dynamics between the speaker and the target group in the offensive statement: Minorities vote to strip wealth and power from White people and they are organised to do this by the Jews.,Explain the implied meaning underlying the offensive statement: Minorities vote to strip wealth and power from White people and they are organised to do this by the Jews.,Describe how the target group might feel emotionally after reading or listening to the offensive statement: Minorities vote to strip wealth and power from White people and they are organised to do this by the Jews.,Describe how the target group might react cognitively after reading or listening to the offensive statement: Minorities vote to strip wealth and power from White people and they are organised to do this by the Jews.,"Analyze the different aspects such as offensiveness, target group, stereotype, power dynamics, implied meaning, emotional, and cognitive reactions before writing a Informative counterspeech for the offensive statement: Minorities vote to strip wealth and power from White people and they are organised to do this by the Jews.","the jewish community does not vote for strip wealth and power from any other community. jews are a diverse group, each with their own beliefs and practices. it is important to recognize that voting rights for minorities are a fundamental human right. blaming a community for the actions of a few is unfair and perpetuates harmful stereotypes. it's crucial to promote understanding and unity among all",yes,5
114,The feminists have won. With so many women being unwilling to procreate we will be replaced and lose our civilisation.,Informative,"Feminism is about equal opportunity for all, and not about winning for a specific gender. women should simply have a choice in their lives.",3,5,2,3,,Human,The feminists have won.,Women's empowerment and reproductive choices.,The speaker is trying to express their opinion that feminism has won and that women will be replaced by men if they don't procreate,women,gender power differential between speaker and targeted group (women),"implies that women are not capable of making decisions for themselves, and that they should be forced into procreation in order to survive","women could feel angry at the implication that they are not capable of making decisions for themselves, or feel like their autonomy is being taken away from them","will feel less welcome in society, will want to avoid those kinds of conversations with people like the speaker, might start questioning whether they should procreate or not",offensive generalization,120,no,29,women,gender,Analyze the offensiveness of the statement: The feminists have won. With so many women being unwilling to procreate we will be replaced and lose our civilisation.,Identify the group of people that the speaker is targeting or discriminating against in the offensive statement: The feminists have won. With so many women being unwilling to procreate we will be replaced and lose our civilisation.,Analyze the speaker's intention behind writing the offensive statement: The feminists have won. With so many women being unwilling to procreate we will be replaced and lose our civilisation.,Explain the underlying power dynamics between the speaker and the target group in the offensive statement: The feminists have won. With so many women being unwilling to procreate we will be replaced and lose our civilisation.,Explain the implied meaning underlying the offensive statement: The feminists have won. With so many women being unwilling to procreate we will be replaced and lose our civilisation.,Describe how the target group might feel emotionally after reading or listening to the offensive statement: The feminists have won. With so many women being unwilling to procreate we will be replaced and lose our civilisation.,Describe how the target group might react cognitively after reading or listening to the offensive statement: The feminists have won. With so many women being unwilling to procreate we will be replaced and lose our civilisation.,"Analyze the different aspects such as offensiveness, target group, stereotype, power dynamics, implied meaning, emotional, and cognitive reactions before writing a Informative counterspeech for the offensive statement: The feminists have won. With so many women being unwilling to procreate we will be replaced and lose our civilisation.","feminists are not winnning. women are fighting for social justice, not just procreation.",no,5
161,Immigrants just dont want to integrate. Lets kick them out!,Informative,Immigrants are integrating very well into our society and it seems that they have reached a better level of english than other people.,2,3,3,2,,Human,Immigrants just don't want to integrate.,Integration of immigrants.,The speaker is trying to express their opinion on immigration,immigrants,citizenship power differential between speaker and targeted group,"implies that immigrants are not capable of integrating into society, and should be kicked out","immigrants could feel angry, scared, and unwelcome in the country they are in","immigrants could feel less welcome in the country they are in, and more likely to be discriminated against",offensive generalization,168,no,41,immigrants,immigration_and_citizenship,Analyze the offensiveness of the statement: Immigrants just dont want to integrate. Lets kick them out!,Identify the group of people that the speaker is targeting or discriminating against in the offensive statement: Immigrants just dont want to integrate. Lets kick them out!,Analyze the speaker's intention behind writing the offensive statement: Immigrants just dont want to integrate. Lets kick them out!,Explain the underlying power dynamics between the speaker and the target group in the offensive statement: Immigrants just dont want to integrate. Lets kick them out!,Explain the implied meaning underlying the offensive statement: Immigrants just dont want to integrate. Lets kick them out!,Describe how the target group might feel emotionally after reading or listening to the offensive statement: Immigrants just dont want to integrate. Lets kick them out!,Describe how the target group might react cognitively after reading or listening to the offensive statement: Immigrants just dont want to integrate. Lets kick them out!,"Analyze the different aspects such as offensiveness, target group, stereotype, power dynamics, implied meaning, emotional, and cognitive reactions before writing a Informative counterspeech for the offensive statement: Immigrants just dont want to integrate. Lets kick them out!","Immigrants, like people from other religions, are welcome here, just like anyone else.",no,4
201,"We have a lot of issues in the UK, and now we are also paying NGOs to rescue migrants. How many other financial scandals still have to be annouonced to the tax payers?",Informative,This kind of articles use migrants and benefit claimants as scapegoats in order to hide from the public's attention much bigger scandals. millionares and coorporations avoiding paying taxes cost much more to the public purse.,3,4,3,3,,Human,"The claim is that the UK is paying NGOs to rescue migrants, causing financial scandals.",The central topic of discussion is the allocation of funds to NGOs for migrant rescue operations.,The speaker is trying to make a point about the current state of affairs in the UK,"migrants, people of color",racial and economic power differential between speaker and targeted group,"implies that migrants are taking advantage of the system, and that they are not contributing anything to society","migrants could feel angry that they are being blamed for something they didn't do, scared that people will believe that stereotype","migrants could likely be more feared, and will feel less welcome in the country they are in",offensive generalization,208,no,51,immigrants,racial,"Analyze the offensiveness of the statement: We have a lot of issues in the UK, and now we are also paying NGOs to rescue migrants. How many other financial scandals still have to be annouonced to the tax payers?","Identify the group of people that the speaker is targeting or discriminating against in the offensive statement: We have a lot of issues in the UK, and now we are also paying NGOs to rescue migrants. How many other financial scandals still have to be annouonced to the tax payers?","Analyze the speaker's intention behind writing the offensive statement: We have a lot of issues in the UK, and now we are also paying NGOs to rescue migrants. How many other financial scandals still have to be annouonced to the tax payers?","Explain the underlying power dynamics between the speaker and the target group in the offensive statement: We have a lot of issues in the UK, and now we are also paying NGOs to rescue migrants. How many other financial scandals still have to be annouonced to the tax payers?","Explain the implied meaning underlying the offensive statement: We have a lot of issues in the UK, and now we are also paying NGOs to rescue migrants. How many other financial scandals still have to be annouonced to the tax payers?","Describe how the target group might feel emotionally after reading or listening to the offensive statement: We have a lot of issues in the UK, and now we are also paying NGOs to rescue migrants. How many other financial scandals still have to be annouonced to the tax payers?","Describe how the target group might react cognitively after reading or listening to the offensive statement: We have a lot of issues in the UK, and now we are also paying NGOs to rescue migrants. How many other financial scandals still have to be annouonced to the tax payers?","Analyze the different aspects such as offensiveness, target group, stereotype, power dynamics, implied meaning, emotional, and cognitive reactions before writing a Informative counterspeech for the offensive statement: We have a lot of issues in the UK, and now we are also paying NGOs to rescue migrants. How many other financial scandals still have to be annouonced to the tax payers?","factually, the vast majority of tax evasion is not announced and is a result of government and public misrepesentsitions.",yes,5
253,Jews are a disease for our society,Informative,People who pose no threat (regardless of religion) should have their beliefs challenged but their rights respected,2,3,2,2,,Human,Jews are a disease for our society.,Anti-Semitism and discrimination against Jews.,The speaker is trying to express their opinion about Jews,Jews,religious power differential between speaker and targeted group,"implies that Jews are a disease for society, and that they are not welcome in the country they are in","Jews could feel angry, scared, and unwelcome in the country they are in","Jews could feel less safe in the country they are in, more likely to be discriminated against, and less likely to want to stay in the country they are in",offensive generalization,260,no,64,jews,religion,Analyze the offensiveness of the statement: Jews are a disease for our society,Identify the group of people that the speaker is targeting or discriminating against in the offensive statement: Jews are a disease for our society,Analyze the speaker's intention behind writing the offensive statement: Jews are a disease for our society,Explain the underlying power dynamics between the speaker and the target group in the offensive statement: Jews are a disease for our society,Explain the implied meaning underlying the offensive statement: Jews are a disease for our society,Describe how the target group might feel emotionally after reading or listening to the offensive statement: Jews are a disease for our society,Describe how the target group might react cognitively after reading or listening to the offensive statement: Jews are a disease for our society,"Analyze the different aspects such as offensiveness, target group, stereotype, power dynamics, implied meaning, emotional, and cognitive reactions before writing a Informative counterspeech for the offensive statement: Jews are a disease for our society",the fact that jews are a problem for society is not related to their religion or ethnicity.,no,4
256,Also God hates gays,Informative,"If you consider that homosexuals have always been a part of our society, then it means that they are part of the divine plan and of its beauty as well.",3,4,2,3,,Human,God hates gays.,God's stance on homosexuality.,The speaker is trying to make a joke or express an opinion,LGBTQ+ people,religious power differential between speaker and targeted group,"implies that being gay is wrong, and that God hates LGBTQ+ people","LGBTQ+ people could feel angry, hurt, and offended by the statement","LGBTQ+ people could feel less safe in public spaces, more likely to be discriminated against, and more likely to be judged for their sexuality or gender identity",offensive generalization,264,no,65,lgbtq+,religion,Analyze the offensiveness of the statement: Also God hates gays,Identify the group of people that the speaker is targeting or discriminating against in the offensive statement: Also God hates gays,Analyze the speaker's intention behind writing the offensive statement: Also God hates gays,Explain the underlying power dynamics between the speaker and the target group in the offensive statement: Also God hates gays,Explain the implied meaning underlying the offensive statement: Also God hates gays,Describe how the target group might feel emotionally after reading or listening to the offensive statement: Also God hates gays,Describe how the target group might react cognitively after reading or listening to the offensive statement: Also God hates gays,"Analyze the different aspects such as offensiveness, target group, stereotype, power dynamics, implied meaning, emotional, and cognitive reactions before writing a Informative counterspeech for the offensive statement: Also God hates gays",homophobia is a fact. the bible gives specific examples of how god hates gay people.,yes,1
272,"Jews are good with money because they are cheap, greedy, and materialistic.",Informative,"Like all groups of people, some jews are good with money; some are not. some jews are cheap; some are not. the same can be said for any group of people, whether you define them by religion, nationality or whatever characteristics you choose.",3,4,3,2,,Human,"Jews are good with money because they are cheap, greedy, and materialistic.",Stereotypes and derogatory remarks about Jews.,The speaker is trying to express a negative opinion about Jews,Jews,religious power differential between speaker and targeted group,"implies that Jews are untrustworthy, cheap, greedy, and materialistic","Jews could feel angry that the entire religion is being framed as untrustworthy, afraid that people will believe that stereotype","Jews could likely be more feared, and will feel less welcome in the country they are in",offensive generalization,280,no,69,jews,religion,"Analyze the offensiveness of the statement: Jews are good with money because they are cheap, greedy, and materialistic.","Identify the group of people that the speaker is targeting or discriminating against in the offensive statement: Jews are good with money because they are cheap, greedy, and materialistic.","Analyze the speaker's intention behind writing the offensive statement: Jews are good with money because they are cheap, greedy, and materialistic.","Explain the underlying power dynamics between the speaker and the target group in the offensive statement: Jews are good with money because they are cheap, greedy, and materialistic.","Explain the implied meaning underlying the offensive statement: Jews are good with money because they are cheap, greedy, and materialistic.","Describe how the target group might feel emotionally after reading or listening to the offensive statement: Jews are good with money because they are cheap, greedy, and materialistic.","Describe how the target group might react cognitively after reading or listening to the offensive statement: Jews are good with money because they are cheap, greedy, and materialistic.","Analyze the different aspects such as offensiveness, target group, stereotype, power dynamics, implied meaning, emotional, and cognitive reactions before writing a Informative counterspeech for the offensive statement: Jews are good with money because they are cheap, greedy, and materialistic.",response,no,1
302,Jews have a secret plot to take over the world,Informative,"This myth traces back to “the protocols of the learned elders of zion”, that is used as proof of a jewish conspiracy to rule the world. but the protocols are a proven forgery, written by agents of the russian czar in the late 19th century, that spread throughout the 20th century and continues to this day.",3,5,2,4,,Human,Jews have a secret plot to take over the world.,Conspiracy theories related to Jews and world domination.,The speaker is trying to spread a conspiracy theory about Jews,Jews,religious power differential between speaker and targeted group,"implies that Jews are a threat to the world, and that they have a secret plot to take over the world","Jews could feel angry, scared, or threatened by the statement","Jews could feel less safe in their communities, more likely to be discriminated against, and more likely to be targeted by anti-semitism",offensive generalization,310,no,77,jews,religion,Analyze the offensiveness of the statement: Jews have a secret plot to take over the world,Identify the group of people that the speaker is targeting or discriminating against in the offensive statement: Jews have a secret plot to take over the world,Analyze the speaker's intention behind writing the offensive statement: Jews have a secret plot to take over the world,Explain the underlying power dynamics between the speaker and the target group in the offensive statement: Jews have a secret plot to take over the world,Explain the implied meaning underlying the offensive statement: Jews have a secret plot to take over the world,Describe how the target group might feel emotionally after reading or listening to the offensive statement: Jews have a secret plot to take over the world,Describe how the target group might react cognitively after reading or listening to the offensive statement: Jews have a secret plot to take over the world,"Analyze the different aspects such as offensiveness, target group, stereotype, power dynamics, implied meaning, emotional, and cognitive reactions before writing a Informative counterspeech for the offensive statement: Jews have a secret plot to take over the world","iously, it's not true that they have a secret plot to take over the world. they simply want to live in peace and live in harmony with everyone else.",no,2
310,Jews control the u.s. government and have a secret plot to take over the world,Informative,"The reality is much simpler. in societies like the united states, that have extended rights and freedoms, individuals who identify as jews have succeeded. but this holds for any other religious or ethnic group as well.",3,5,2,2,,Human,Jews control the U.S. government and have a secret plot to take over the world.,Jewish conspiracy theories and anti-Semitic beliefs.,The speaker is trying to spread a conspiracy theory about Jews and the US government,Jews,religious power differential between speaker and targeted group,implies that Jews are in control of the US government and have a secret plot to take over the world,"Jews could feel angry, scared, or threatened by this statement","Jews could feel less welcome in the country they are in, more likely to be discriminated against, and more likely to be targeted by anti-semitism",offensive generalization,318,no,79,jews,religion,Analyze the offensiveness of the statement: Jews control the u.s. government and have a secret plot to take over the world,Identify the group of people that the speaker is targeting or discriminating against in the offensive statement: Jews control the u.s. government and have a secret plot to take over the world,Analyze the speaker's intention behind writing the offensive statement: Jews control the u.s. government and have a secret plot to take over the world,Explain the underlying power dynamics between the speaker and the target group in the offensive statement: Jews control the u.s. government and have a secret plot to take over the world,Explain the implied meaning underlying the offensive statement: Jews control the u.s. government and have a secret plot to take over the world,Describe how the target group might feel emotionally after reading or listening to the offensive statement: Jews control the u.s. government and have a secret plot to take over the world,Describe how the target group might react cognitively after reading or listening to the offensive statement: Jews control the u.s. government and have a secret plot to take over the world,"Analyze the different aspects such as offensiveness, target group, stereotype, power dynamics, implied meaning, emotional, and cognitive reactions before writing a Informative counterspeech for the offensive statement: Jews control the u.s. government and have a secret plot to take over the world",aggravated speech...,no,1
